Trade,New item (needs a price),Taxonomy path
Electrical,Electrical > Doorbells > Wireless > Replace Chime Box Batteries,Labor > Electrical > Doorbells > Wireless > Replace Chime Box Batteries
Electrical,Electrical > Doorbells > Wireless > Replace Pushbutton Batteries,Labor > Electrical > Doorbells > Wireless > Replace Pushbutton Batteries
Electrical,Electrical > Doorbells > Wireless > Replace Repeater Batteries,Labor > Electrical > Doorbells > Wireless > Replace Repeater Batteries
Electrical,Electrical > Doorbells > Wireless > Replace Wireless Chime Box,Labor > Electrical > Doorbells > Wireless > Replace Wireless Chime Box
Electrical,Electrical > Doorbells > Wireless > Replace Wireless Pushbutton,Labor > Electrical > Doorbells > Wireless > Replace Wireless Pushbutton
Electrical,Electrical > Doorbells > Wireless > Replace Wireless Repeater,Labor > Electrical > Doorbells > Wireless > Replace Wireless Repeater
Electrical,Electrical > Doorbells > Wireless > Reprogram,Labor > Electrical > Doorbells > Wireless > Reprogram
Electrical,Electrical > Doorbells > Wireless > Secure Chime Box,Labor > Electrical > Doorbells > Wireless > Secure Chime Box
Electrical,Electrical > Doorbells > Wireless > Secure Pushbutton,Labor > Electrical > Doorbells > Wireless > Secure Pushbutton
Electrical,Electrical > Doorbells > Wireless > Secure Repeater,Labor > Electrical > Doorbells > Wireless > Secure Repeater
Electrical,Electrical > Exhaust Fans > Install New - Ground Up,Labor > Electrical > Exhaust Fans > Install New - Ground Up
Electrical,Electrical > Exhaust Fans > Replace Bulb,Labor > Electrical > Exhaust Fans > Replace Bulb
Electrical,Electrical > Exhaust Fans > Replace Cover,Labor > Electrical > Exhaust Fans > Replace Cover
Electrical,Electrical > Exhaust Fans > Replace Fan Wheel / Blade,Labor > Electrical > Exhaust Fans > Replace Fan Wheel / Blade
Electrical,Electrical > Lighting > Can / Recessed > Diagnose / Troubleshoot,Labor > Electrical > Lighting > Can / Recessed > Diagnose / Troubleshoot
Electrical,Electrical > Lighting > Can / Recessed > Install New - Ground Up,Labor > Electrical > Lighting > Can / Recessed > Install New - Ground Up
Electrical,Electrical > Lighting > Can / Recessed > Secure,Labor > Electrical > Lighting > Can / Recessed > Secure
Electrical,Electrical > Lighting > Ceiling Fan > Balance,Labor > Electrical > Lighting > Ceiling Fan > Balance
Electrical,"Electrical > Lighting > Ceiling Fan > Diagnose / Troubleshoot,","Labor > Electrical > Lighting > Ceiling Fan > Diagnose / Troubleshoot,"
Electrical,Electrical > Lighting > Ceiling Fan > Install / Replace Downrod,Labor > Electrical > Lighting > Ceiling Fan > Install / Replace Downrod
Electrical,Electrical > Lighting > Ceiling Fan > Install Light Kit,Labor > Electrical > Lighting > Ceiling Fan > Install Light Kit
Electrical,Electrical > Lighting > Ceiling Fan > Install Medallion,Labor > Electrical > Lighting > Ceiling Fan > Install Medallion
Electrical,Electrical > Lighting > Ceiling Fan > Install Remodel Box,Labor > Electrical > Lighting > Ceiling Fan > Install Remodel Box
Electrical,Electrical > Lighting > Ceiling Fan > Install Remote & Receiver - Ground Up,Labor > Electrical > Lighting > Ceiling Fan > Install Remote & Receiver - Ground Up
Electrical,Electrical > Lighting > Ceiling Fan > Replace Globes / Shades,Labor > Electrical > Lighting > Ceiling Fan > Replace Globes / Shades
Electrical,Electrical > Lighting > Ceiling Fan > Replace LED Light Assembly,Labor > Electrical > Lighting > Ceiling Fan > Replace LED Light Assembly
Electrical,Electrical > Lighting > Ceiling Fan > Replace Pull Chain Switch For Fan,Labor > Electrical > Lighting > Ceiling Fan > Replace Pull Chain Switch For Fan
Electrical,Electrical > Lighting > Ceiling Fan > Replace Pull Switch For Light,Labor > Electrical > Lighting > Ceiling Fan > Replace Pull Switch For Light
Electrical,Electrical > Lighting > Ceiling Fan > Replace Remote / Receiver,Labor > Electrical > Lighting > Ceiling Fan > Replace Remote / Receiver
Electrical,Electrical > Lighting > Ceiling Fan > Reporgram Remote / Receiver,Labor > Electrical > Lighting > Ceiling Fan > Reporgram Remote / Receiver
Electrical,Electrical > Lighting > Ceiling Fan > Secure Fan / Blades,Labor > Electrical > Lighting > Ceiling Fan > Secure Fan / Blades
Electrical,Electrical > Lighting > Chandelier > Adjust Length,Labor > Electrical > Lighting > Chandelier > Adjust Length
Electrical,Electrical > Lighting > Chandelier > Diagnose / Troubleshoot,Labor > Electrical > Lighting > Chandelier > Diagnose / Troubleshoot
Electrical,Electrical > Lighting > Chandelier > Install New - Ground Up,Labor > Electrical > Lighting > Chandelier > Install New - Ground Up
Electrical,Electrical > Lighting > Chandelier > Secure,Labor > Electrical > Lighting > Chandelier > Secure
Electrical,Electrical > Lighting > Dome > Diagnose / Troubleshoot,Labor > Electrical > Lighting > Dome > Diagnose / Troubleshoot
Electrical,Electrical > Lighting > Dome > Install New - Ground Up,Labor > Electrical > Lighting > Dome > Install New - Ground Up
Electrical,Electrical > Lighting > Dome > Replace Globe,Labor > Electrical > Lighting > Dome > Replace Globe
Electrical,Electrical > Lighting > Dome > Secure,Labor > Electrical > Lighting > Dome > Secure
Electrical,Electrical > Lighting > Exterior Flood > Diagnose / Troubleshoot,Labor > Electrical > Lighting > Exterior Flood > Diagnose / Troubleshoot
Electrical,Electrical > Lighting > Exterior Flood > Install New - Ground Up,Labor > Electrical > Lighting > Exterior Flood > Install New - Ground Up
Electrical,Electrical > Lighting > Exterior Flood > Secure,Labor > Electrical > Lighting > Exterior Flood > Secure
Electrical,Electrical > Lighting > Exterior Pathway > Diagnose / Troubleshoot,Labor > Electrical > Lighting > Exterior Pathway > Diagnose / Troubleshoot
Electrical,Electrical > Lighting > Exterior Pathway > Install New - Ground Up,Labor > Electrical > Lighting > Exterior Pathway > Install New - Ground Up
Electrical,Electrical > Lighting > Exterior Pathway > Replace Fixtures,Labor > Electrical > Lighting > Exterior Pathway > Replace Fixtures
Electrical,Electrical > Lighting > Exterior Pathway > Secure,Labor > Electrical > Lighting > Exterior Pathway > Secure
Electrical,Electrical > Lighting > Exterior Porch > Diagnose / Troubleshoot,Labor > Electrical > Lighting > Exterior Porch > Diagnose / Troubleshoot
Electrical,Electrical > Lighting > Exterior Porch > Install New - Ground Up,Labor > Electrical > Lighting > Exterior Porch > Install New - Ground Up
Electrical,Electrical > Lighting > Exterior Porch > Secure,Labor > Electrical > Lighting > Exterior Porch > Secure
Electrical,Electrical > Lighting > Fluorescent > Diagnose / Troubleshoot,Labor > Electrical > Lighting > Fluorescent > Diagnose / Troubleshoot
Electrical,Electrical > Lighting > Fluorescent > Install New - Ground Up,Labor > Electrical > Lighting > Fluorescent > Install New - Ground Up
Electrical,Electrical > Lighting > Fluorescent > Replace Ballast,Labor > Electrical > Lighting > Fluorescent > Replace Ballast
Electrical,Electrical > Lighting > Fluorescent > Secure,Labor > Electrical > Lighting > Fluorescent > Secure
Electrical,Electrical > Lighting > Fluorescent > Upgrade To LED,Labor > Electrical > Lighting > Fluorescent > Upgrade To LED
Electrical,Electrical > Lighting > Pendant > Adjust Length,Labor > Electrical > Lighting > Pendant > Adjust Length
Electrical,Electrical > Lighting > Pendant > Diagnose / Troubleshoot,Labor > Electrical > Lighting > Pendant > Diagnose / Troubleshoot
Electrical,Electrical > Lighting > Pendant > Install New - Ground Up,Labor > Electrical > Lighting > Pendant > Install New - Ground Up
Electrical,Electrical > Lighting > Pendant > Replace Globe,Labor > Electrical > Lighting > Pendant > Replace Globe
Electrical,Electrical > Lighting > Pendant > Secure,Labor > Electrical > Lighting > Pendant > Secure
Electrical,Electrical > Lighting > Sconce > Diagnose / Troubleshoot,Labor > Electrical > Lighting > Sconce > Diagnose / Troubleshoot
Electrical,Electrical > Lighting > Sconce > Install New - Ground Up,Labor > Electrical > Lighting > Sconce > Install New - Ground Up
Electrical,Electrical > Lighting > Sconce > Secure,Labor > Electrical > Lighting > Sconce > Secure
Electrical,Electrical > Lighting > Track > Add Receptacles,Labor > Electrical > Lighting > Track > Add Receptacles
Electrical,Electrical > Lighting > Track > Adjust Tracks,Labor > Electrical > Lighting > Track > Adjust Tracks
Electrical,Electrical > Lighting > Track > Diagnose / Troubleshoot,Labor > Electrical > Lighting > Track > Diagnose / Troubleshoot
Electrical,Electrical > Lighting > Track > Install New - Ground Up,Labor > Electrical > Lighting > Track > Install New - Ground Up
Electrical,Electrical > Lighting > Track > Secure,Labor > Electrical > Lighting > Track > Secure
Electrical,Electrical > Lighting > Under Cabinet > Diagnose / Troubleshoot,Labor > Electrical > Lighting > Under Cabinet > Diagnose / Troubleshoot
Electrical,Electrical > Lighting > Under Cabinet > Install New - Ground Up,Labor > Electrical > Lighting > Under Cabinet > Install New - Ground Up
Electrical,Electrical > Lighting > Under Cabinet > Secure,Labor > Electrical > Lighting > Under Cabinet > Secure
Electrical,Electrical > Lighting > Vanity > Diagnose / Troubleshoot,Labor > Electrical > Lighting > Vanity > Diagnose / Troubleshoot
Electrical,Electrical > Lighting > Vanity > Install New - Ground Up,Labor > Electrical > Lighting > Vanity > Install New - Ground Up
Electrical,Electrical > Lighting > Vanity > Secure,Labor > Electrical > Lighting > Vanity > Secure
Electrical,Electrical > Outlets > Repair Loose Outlet (Tighten),Labor > Electrical > Outlets > Repair Loose Outlet (Tighten)
Electrical,Electrical > Outlets > Repair Outlet Wiring,Labor > Electrical > Outlets > Repair Outlet Wiring
Electrical,Electrical > Outlets > Replace Outlet (With Switched Receptacle),Labor > Electrical > Outlets > Replace Outlet (With Switched Receptacle)
Electrical,Electrical > Outlets > Replace Outlet - GFCI,Labor > Electrical > Outlets > Replace Outlet - GFCI
Electrical,Electrical > Outlets > Replace Outlet - Standard,Labor > Electrical > Outlets > Replace Outlet - Standard
Electrical,Electrical > Outlets > Replace Outlet Cover,Labor > Electrical > Outlets > Replace Outlet Cover
Electrical,Electrical > Outlets > Replace WR (Weather Resistant) Outlet,Labor > Electrical > Outlets > Replace WR (Weather Resistant) Outlet
Electrical,Electrical > Outlets > Test Outlets,Labor > Electrical > Outlets > Test Outlets
Electrical,Electrical > Smoke / CO Detectors > Battery Operated > Diagnose / Troubleshoot,Labor > Electrical > Smoke / CO Detectors > Battery Operated > Diagnose / Troubleshoot
Electrical,Electrical > Smoke / CO Detectors > Battery Operated > Inspect,Labor > Electrical > Smoke / CO Detectors > Battery Operated > Inspect
Electrical,Electrical > Smoke / CO Detectors > Battery Operated > Install New - Ground Up,Labor > Electrical > Smoke / CO Detectors > Battery Operated > Install New - Ground Up
Electrical,Electrical > Smoke / CO Detectors > Battery Operated > Replace Battery,Labor > Electrical > Smoke / CO Detectors > Battery Operated > Replace Battery
Electrical,Electrical > Smoke / CO Detectors > Battery Operated > Secure,Labor > Electrical > Smoke / CO Detectors > Battery Operated > Secure
Electrical,Electrical > Smoke / CO Detectors > Battery Operated > Test,Labor > Electrical > Smoke / CO Detectors > Battery Operated > Test
Electrical,Electrical > Smoke / CO Detectors > Carbon Monoxide > Diagnose / Troubleshoot,Labor > Electrical > Smoke / CO Detectors > Carbon Monoxide > Diagnose / Troubleshoot
Electrical,Electrical > Smoke / CO Detectors > Carbon Monoxide > Inspect,Labor > Electrical > Smoke / CO Detectors > Carbon Monoxide > Inspect
Electrical,Electrical > Smoke / CO Detectors > Carbon Monoxide > Install New - Battery Operated - Ground Up,Labor > Electrical > Smoke / CO Detectors > Carbon Monoxide > Install New - Battery Operated - Ground Up
Electrical,Electrical > Smoke / CO Detectors > Carbon Monoxide > Replace Battery,Labor > Electrical > Smoke / CO Detectors > Carbon Monoxide > Replace Battery
Electrical,Electrical > Smoke / CO Detectors > Carbon Monoxide > Replace Detector - Battery Operated,Labor > Electrical > Smoke / CO Detectors > Carbon Monoxide > Replace Detector - Battery Operated
Electrical,Electrical > Smoke / CO Detectors > Carbon Monoxide > Replace Detector - Hard Wired,Labor > Electrical > Smoke / CO Detectors > Carbon Monoxide > Replace Detector - Hard Wired
Electrical,Electrical > Smoke / CO Detectors > Carbon Monoxide > Secure,Labor > Electrical > Smoke / CO Detectors > Carbon Monoxide > Secure
Electrical,Electrical > Smoke / CO Detectors > Carbon Monoxide > Test,Labor > Electrical > Smoke / CO Detectors > Carbon Monoxide > Test
Electrical,Electrical > Smoke / CO Detectors > Hard Wired > Diagnose / Troubleshoot,Labor > Electrical > Smoke / CO Detectors > Hard Wired > Diagnose / Troubleshoot
Electrical,Electrical > Smoke / CO Detectors > Hard Wired > Inspect,Labor > Electrical > Smoke / CO Detectors > Hard Wired > Inspect
Electrical,Electrical > Smoke / CO Detectors > Hard Wired > Replace Battery,Labor > Electrical > Smoke / CO Detectors > Hard Wired > Replace Battery
Electrical,Electrical > Smoke / CO Detectors > Hard Wired > Secure,Labor > Electrical > Smoke / CO Detectors > Hard Wired > Secure
Electrical,Electrical > Smoke / CO Detectors > Hard Wired > Test,Labor > Electrical > Smoke / CO Detectors > Hard Wired > Test
Electrical,Electrical > Switches > Diagnose Switch Wiring,Labor > Electrical > Switches > Diagnose Switch Wiring
Electrical,Electrical > Switches > Install Dimmer Switch,Labor > Electrical > Switches > Install Dimmer Switch
Electrical,Electrical > Switches > Install Humidity Sensored Switch,Labor > Electrical > Switches > Install Humidity Sensored Switch
Electrical,Electrical > Switches > Install Movement Sensored Switch,Labor > Electrical > Switches > Install Movement Sensored Switch
Electrical,Electrical > Switches > Install Photocell Switch (Exterior Dusk / Dawn),Labor > Electrical > Switches > Install Photocell Switch (Exterior Dusk / Dawn)
Electrical,Electrical > Switches > Install Smart Switch (Wifi / Bluetooth),Labor > Electrical > Switches > Install Smart Switch (Wifi / Bluetooth)
Electrical,Electrical > Switches > Install Timer Switch,Labor > Electrical > Switches > Install Timer Switch
Electrical,Electrical > Switches > Replace 3 Way Switch,Labor > Electrical > Switches > Replace 3 Way Switch
Electrical,Electrical > Switches > Replace 4 Way Switch,Labor > Electrical > Switches > Replace 4 Way Switch
Electrical,Electrical > Switches > Replace Double Pole Switch,Labor > Electrical > Switches > Replace Double Pole Switch
Electrical,Electrical > Switches > Replace Single Pole Switch,Labor > Electrical > Switches > Replace Single Pole Switch
Equipment Rental,Equipment Rental > Heavy Equipment > Mini Excavator,Equipment Rental > Heavy Equipment > Mini Excavator
Equipment Rental,Equipment Rental > Heavy Equipment > Skid Steer,Equipment Rental > Heavy Equipment > Skid Steer
Equipment Rental,Equipment Rental > Power Tools > Circular Saw,Equipment Rental > Power Tools > Circular Saw
Equipment Rental,Equipment Rental > Power Tools > Nail Gun,Equipment Rental > Power Tools > Nail Gun
Equipment Rental,Equipment Rental > Scaffolding > Extension Ladder,Equipment Rental > Scaffolding > Extension Ladder
Equipment Rental,Equipment Rental > Scaffolding > Rolling Scaffold,Equipment Rental > Scaffolding > Rolling Scaffold
Exterior Walls,Exterior Walls > Install 4X8 Siding - Ground Up,Labor > Exterior Walls > Install 4X8 Siding - Ground Up
Exterior Walls,Exterior Walls > Install Board & Batten Siding - Ground Up,Labor > Exterior Walls > Install Board & Batten Siding - Ground Up
Exterior Walls,Exterior Walls > Install Fiber Cement Siding - Ground Up,Labor > Exterior Walls > Install Fiber Cement Siding - Ground Up
Exterior Walls,Exterior Walls > Install Shiplap Siding - Ground Up,Labor > Exterior Walls > Install Shiplap Siding - Ground Up
Exterior Walls,Exterior Walls > Install Stucco - Ground Up,Labor > Exterior Walls > Install Stucco - Ground Up
Exterior Walls,Exterior Walls > Install Vinyl Siding - Ground Up,Labor > Exterior Walls > Install Vinyl Siding - Ground Up
Fencing,Fencing > Chain Link > Install New - Ground Up,Labor > Fencing > Chain Link > Install New - Ground Up
Fencing,Fencing > Chain Link > Install Privacy Slats,Labor > Fencing > Chain Link > Install Privacy Slats
Fencing,Fencing > Chain Link > Repalce Gate Hardware,Labor > Fencing > Chain Link > Repalce Gate Hardware
Fencing,Fencing > Chain Link > Replace Horizontal Rails,Labor > Fencing > Chain Link > Replace Horizontal Rails
Fencing,Fencing > Chain Link > Replace Vertical Posts,Labor > Fencing > Chain Link > Replace Vertical Posts
Fencing,Fencing > Chain Link > Secure Chain Link To Poles,Labor > Fencing > Chain Link > Secure Chain Link To Poles
Fencing,Fencing > Masonry > Build New - Ground Up,Labor > Fencing > Masonry > Build New - Ground Up
Fencing,Fencing > Masonry > Mount Gate,Labor > Fencing > Masonry > Mount Gate
Fencing,Fencing > Masonry > Mount Hardware,Labor > Fencing > Masonry > Mount Hardware
Fencing,Fencing > Masonry > Repair / Replace Grout,Labor > Fencing > Masonry > Repair / Replace Grout
Fencing,Fencing > Wood Picket > Apply Exterior Sealer,Labor > Fencing > Wood Picket > Apply Exterior Sealer
Fencing,Fencing > Wood Picket > Build New - Ground Up,Labor > Fencing > Wood Picket > Build New - Ground Up
Fencing,Fencing > Wood Picket > Paint,Labor > Fencing > Wood Picket > Paint
Fencing,Fencing > Wood Picket > Repair / Rebuild Gate,Labor > Fencing > Wood Picket > Repair / Rebuild Gate
Fencing,Fencing > Wood Picket > Replace Gate Hardware,Labor > Fencing > Wood Picket > Replace Gate Hardware
Fencing,Fencing > Wood Picket > Replace Pickets,Labor > Fencing > Wood Picket > Replace Pickets
Fencing,Fencing > Wood Picket > Replace Post,Labor > Fencing > Wood Picket > Replace Post
Fencing,Fencing > Wood Picket > Replace Rail,Labor > Fencing > Wood Picket > Replace Rail
Fixtures / Mounts / Accessories,Fixtures / Mounts / Accessories > Bathroom > Grab Bars / Safety Bars,Labor > Fixtures / Mounts / Accessories > Bathroom > Grab Bars / Safety Bars
Fixtures / Mounts / Accessories,Fixtures / Mounts / Accessories > Bathroom > Mirror,Labor > Fixtures / Mounts / Accessories > Bathroom > Mirror
Fixtures / Mounts / Accessories,Fixtures / Mounts / Accessories > Bathroom > Shower Curtain Rod (Permanent),Labor > Fixtures / Mounts / Accessories > Bathroom > Shower Curtain Rod (Permanent)
Fixtures / Mounts / Accessories,Fixtures / Mounts / Accessories > Bathroom > TP Holder,Labor > Fixtures / Mounts / Accessories > Bathroom > TP Holder
Fixtures / Mounts / Accessories,Fixtures / Mounts / Accessories > Bathroom > Towel Bar,Labor > Fixtures / Mounts / Accessories > Bathroom > Towel Bar
Fixtures / Mounts / Accessories,Fixtures / Mounts / Accessories > Bathroom > Towel Hook,Labor > Fixtures / Mounts / Accessories > Bathroom > Towel Hook
Fixtures / Mounts / Accessories,Fixtures / Mounts / Accessories > Bathroom > Towel Ring,Labor > Fixtures / Mounts / Accessories > Bathroom > Towel Ring
Fixtures / Mounts / Accessories,Fixtures / Mounts / Accessories > General > Install / Hang Miscellaneous,Labor > Fixtures / Mounts / Accessories > General > Install / Hang Miscellaneous
Fixtures / Mounts / Accessories,Fixtures / Mounts / Accessories > General > Install / Hang Picture Frames,Labor > Fixtures / Mounts / Accessories > General > Install / Hang Picture Frames
Fixtures / Mounts / Accessories,Fixtures / Mounts / Accessories > General > Install / Replace AC Register,Labor > Fixtures / Mounts / Accessories > General > Install / Replace AC Register
Fixtures / Mounts / Accessories,Fixtures / Mounts / Accessories > General > Install / Replace Closet Rod,Labor > Fixtures / Mounts / Accessories > General > Install / Replace Closet Rod
Fixtures / Mounts / Accessories,Fixtures / Mounts / Accessories > General > Install Floating Shelves,Labor > Fixtures / Mounts / Accessories > General > Install Floating Shelves
Fixtures / Mounts / Accessories,Fixtures / Mounts / Accessories > General > Install Replace Register Return,Labor > Fixtures / Mounts / Accessories > General > Install Replace Register Return
Fixtures / Mounts / Accessories,Fixtures / Mounts / Accessories > General > Install Standard Shelving,Labor > Fixtures / Mounts / Accessories > General > Install Standard Shelving
Fixtures / Mounts / Accessories,Fixtures / Mounts / Accessories > General > Install TV Mount,Labor > Fixtures / Mounts / Accessories > General > Install TV Mount
Fixtures / Mounts / Accessories,Fixtures / Mounts / Accessories > Kitchen > Paper Towel holder,Labor > Fixtures / Mounts / Accessories > Kitchen > Paper Towel holder
Fixtures / Mounts / Accessories,Fixtures / Mounts / Accessories > Kitchen > Pot Rack,Labor > Fixtures / Mounts / Accessories > Kitchen > Pot Rack
Flooring,Flooring > Carpet > Install New - Ground Up,Labor > Flooring > Carpet > Install New - Ground Up
Flooring,Flooring > Carpet > Patch / Repair,Labor > Flooring > Carpet > Patch / Repair
Flooring,Flooring > Carpet > Remove Permanently,Labor > Flooring > Carpet > Remove Permanently
Flooring,Flooring > Carpet > Replace,Labor > Flooring > Carpet > Replace
Flooring,Flooring > Carpet > Shampoo / Steam Clean,Labor > Flooring > Carpet > Shampoo / Steam Clean
Flooring,Flooring > Carpet > Stretch,Labor > Flooring > Carpet > Stretch
Flooring,Flooring > Hardwood > Install New - Ground Up,Labor > Flooring > Hardwood > Install New - Ground Up
Flooring,Flooring > Hardwood > Patch / Repair,Labor > Flooring > Hardwood > Patch / Repair
Flooring,Flooring > Hardwood > Remove Permanently,Labor > Flooring > Hardwood > Remove Permanently
Flooring,Flooring > Hardwood > Replace,Labor > Flooring > Hardwood > Replace
Flooring,Flooring > Laminate - Wood > Install New - Ground Up,Labor > Flooring > Laminate - Wood > Install New - Ground Up
Flooring,Flooring > Laminate - Wood > Patch / Repair,Labor > Flooring > Laminate - Wood > Patch / Repair
Flooring,Flooring > Laminate - Wood > Remove Permanently,Labor > Flooring > Laminate - Wood > Remove Permanently
Flooring,Flooring > Laminate - Wood > Replace,Labor > Flooring > Laminate - Wood > Replace
Flooring,Flooring > Laminate Vinyl Plank (LVP) > Install New - Ground Up,Labor > Flooring > Laminate Vinyl Plank (LVP) > Install New - Ground Up
Flooring,Flooring > Laminate Vinyl Plank (LVP) > Patch / Repair,Labor > Flooring > Laminate Vinyl Plank (LVP) > Patch / Repair
Flooring,Flooring > Laminate Vinyl Plank (LVP) > Remove Permanently,Labor > Flooring > Laminate Vinyl Plank (LVP) > Remove Permanently
Flooring,Flooring > Laminate Vinyl Plank (LVP) > Replace,Labor > Flooring > Laminate Vinyl Plank (LVP) > Replace
Flooring,Flooring > Miscellaneous / Other > Concrete Stain - Ground Up,Labor > Flooring > Miscellaneous / Other > Concrete Stain - Ground Up
Flooring,Flooring > Miscellaneous / Other > Concrete Stain - Repair,Labor > Flooring > Miscellaneous / Other > Concrete Stain - Repair
Flooring,Flooring > Miscellaneous / Other > Epoxy - Ground Up,Labor > Flooring > Miscellaneous / Other > Epoxy - Ground Up
Flooring,Flooring > Miscellaneous / Other > Epoxy - Repair,Labor > Flooring > Miscellaneous / Other > Epoxy - Repair
Flooring,Flooring > Sheet Vinyl > Install New - Ground Up,Labor > Flooring > Sheet Vinyl > Install New - Ground Up
Flooring,Flooring > Sheet Vinyl > Patch / Repair,Labor > Flooring > Sheet Vinyl > Patch / Repair
Flooring,Flooring > Sheet Vinyl > Remove Permanently,Labor > Flooring > Sheet Vinyl > Remove Permanently
Flooring,Flooring > Sheet Vinyl > Replace,Labor > Flooring > Sheet Vinyl > Replace
Flooring,Flooring > Vinyl Tile (LVT) > Install New - Ground Up,Labor > Flooring > Vinyl Tile (LVT) > Install New - Ground Up
Flooring,Flooring > Vinyl Tile (LVT) > Patch / Repair,Labor > Flooring > Vinyl Tile (LVT) > Patch / Repair
Flooring,Flooring > Vinyl Tile (LVT) > Remove Permanently,Labor > Flooring > Vinyl Tile (LVT) > Remove Permanently
Flooring,Flooring > Vinyl Tile (LVT) > Replace,Labor > Flooring > Vinyl Tile (LVT) > Replace
HVAC,HVAC > Install / Replace HVAC Filter,Labor > HVAC > Install / Replace HVAC Filter
HVAC,HVAC > Install Mini Split,Labor > HVAC > Install Mini Split
HVAC,HVAC > Install Window AC,Labor > HVAC > Install Window AC
HVAC,HVAC > Program Thermostat,Labor > HVAC > Program Thermostat
HVAC,HVAC > Replace Swamp Cooler (Complete Unit),Labor > HVAC > Replace Swamp Cooler (Complete Unit)
HVAC,HVAC > Replace Swamp Cooler Motor,Labor > HVAC > Replace Swamp Cooler Motor
HVAC,HVAC > Replace Swamp Cooler Pads,Labor > HVAC > Replace Swamp Cooler Pads
HVAC,HVAC > Replace Swamp Cooler Pump,Labor > HVAC > Replace Swamp Cooler Pump
HVAC,HVAC > Replace Swamp Cooler Spider,Labor > HVAC > Replace Swamp Cooler Spider
HVAC,HVAC > Replace Thermostat,Labor > HVAC > Replace Thermostat
Interior Walls & Ceilings,Interior Walls & Ceilings > Ceiling Tile > Install New - Ground Up,Labor > Interior Walls & Ceilings > Ceiling Tile > Install New - Ground Up
Interior Walls & Ceilings,Interior Walls & Ceilings > Ceiling Tile > Remove + Skim,Labor > Interior Walls & Ceilings > Ceiling Tile > Remove + Skim
Interior Walls & Ceilings,Interior Walls & Ceilings > Ceiling Tile > Remove + Skim + Texture,Labor > Interior Walls & Ceilings > Ceiling Tile > Remove + Skim + Texture
Interior Walls & Ceilings,Interior Walls & Ceilings > Ceiling Tile > Remove Permanently,Labor > Interior Walls & Ceilings > Ceiling Tile > Remove Permanently
Interior Walls & Ceilings,Interior Walls & Ceilings > Drop Ceiling > Install New - Ground Up,Labor > Interior Walls & Ceilings > Drop Ceiling > Install New - Ground Up
Interior Walls & Ceilings,Interior Walls & Ceilings > Drop Ceiling > Remove Permanently,Labor > Interior Walls & Ceilings > Drop Ceiling > Remove Permanently
Interior Walls & Ceilings,Interior Walls & Ceilings > Drop Ceiling > Repair Frame,Labor > Interior Walls & Ceilings > Drop Ceiling > Repair Frame
Interior Walls & Ceilings,Interior Walls & Ceilings > Drop Ceiling > Replace Tile,Labor > Interior Walls & Ceilings > Drop Ceiling > Replace Tile
Interior Walls & Ceilings,Interior Walls & Ceilings > Drywall > Install New Drywall - Ground Up,Labor > Interior Walls & Ceilings > Drywall > Install New Drywall - Ground Up
Interior Walls & Ceilings,Interior Walls & Ceilings > Drywall > Paint - Ground Up,Labor > Interior Walls & Ceilings > Drywall > Paint - Ground Up
Interior Walls & Ceilings,"Interior Walls & Ceilings > Drywall > Patch - 1"" Diameter To 4"" Diameter","Labor > Interior Walls & Ceilings > Drywall > Patch - 1"" Diameter To 4"" Diameter"
Interior Walls & Ceilings,"Interior Walls & Ceilings > Drywall > Patch - 4"" Diameter To 1 Square Foot","Labor > Interior Walls & Ceilings > Drywall > Patch - 4"" Diameter To 1 Square Foot"
Interior Walls & Ceilings,Interior Walls & Ceilings > Drywall > Patch - Less than 1 Inch Diameter (Fill),Labor > Interior Walls & Ceilings > Drywall > Patch - Less than 1 Inch Diameter (Fill)
Interior Walls & Ceilings,Interior Walls & Ceilings > Drywall > Patch - More Than 1 Square Foot,Labor > Interior Walls & Ceilings > Drywall > Patch - More Than 1 Square Foot
Interior Walls & Ceilings,Interior Walls & Ceilings > Drywall > Prime - Ground Up,Labor > Interior Walls & Ceilings > Drywall > Prime - Ground Up
Interior Walls & Ceilings,Interior Walls & Ceilings > Drywall > Repair Nail Pops,Labor > Interior Walls & Ceilings > Drywall > Repair Nail Pops
Interior Walls & Ceilings,Interior Walls & Ceilings > Drywall > Repair Peeling Joint Tape,Labor > Interior Walls & Ceilings > Drywall > Repair Peeling Joint Tape
Interior Walls & Ceilings,Interior Walls & Ceilings > Drywall > Skim - Ground Up,Labor > Interior Walls & Ceilings > Drywall > Skim - Ground Up
Interior Walls & Ceilings,Interior Walls & Ceilings > Drywall > Tape Joints - Ground Up,Labor > Interior Walls & Ceilings > Drywall > Tape Joints - Ground Up
Interior Walls & Ceilings,Interior Walls & Ceilings > Drywall > Texture - Ground Up,Labor > Interior Walls & Ceilings > Drywall > Texture - Ground Up
Interior Walls & Ceilings,Interior Walls & Ceilings > Paint > Custom Paint Match Fee,Labor > Interior Walls & Ceilings > Paint > Custom Paint Match Fee
Interior Walls & Ceilings,Interior Walls & Ceilings > Paint > Per Bathroom Paint,Labor > Interior Walls & Ceilings > Paint > Per Bathroom Paint
Interior Walls & Ceilings,Interior Walls & Ceilings > Paint > Per Bedroom Room Paint,Labor > Interior Walls & Ceilings > Paint > Per Bedroom Room Paint
